frame.number,ip.src,ip.dst,tcp.analysis.retransmission,tcp.analysis.lost_segment,tcp.analysis.duplicate_ack,tcp.analysis.out_of_order
"1","192.168.68.107","192.168.68.136",,,,
"3","192.168.68.107","192.168.68.136",,,,
"5","192.168.68.107","192.168.68.136",,,,
"7","192.168.68.107","192.168.68.136",,,,
"9","192.168.68.107","192.168.68.136",,,,
"11","192.168.68.107","192.168.68.136",,,,
"13","192.168.68.107","192.168.68.136",,,,
"15","192.168.68.107","192.168.68.136",,,,
"17","192.168.68.107","192.168.68.136",,,,
"19","192.168.68.107","192.168.68.136",,,,
"21","192.168.68.107","192.168.68.136",,,,
"23","192.168.68.107","192.168.68.136",,,,
"25","192.168.68.107","192.168.68.136",,,,
"27","192.168.68.107","192.168.68.136",,,,
"29","192.168.68.107","192.168.68.136",,,,
"31","192.168.68.107","192.168.68.136",,,,
"33","192.168.68.107","192.168.68.136",,,,
"35","192.168.68.107","192.168.68.136",,,,
"37","192.168.68.107","192.168.68.136",,,,
"39","192.168.68.107","192.168.68.136",,,,
"41","192.168.68.107","192.168.68.136",,,,
"43","192.168.68.107","192.168.68.136",,,,
"45","192.168.68.107","192.168.68.136",,,,
"47","192.168.68.107","192.168.68.136",,,,
"49","192.168.68.107","192.168.68.136",,,,
"51","192.168.68.107","192.168.68.136",,,,
"53","192.168.68.107","192.168.68.136",,,,
"55","192.168.68.107","192.168.68.136",,,,
"57","192.168.68.107","192.168.68.136",,,,
"59","192.168.68.107","192.168.68.136",,,,
"61","192.168.68.107","192.168.68.136",,,,
"63","192.168.68.107","192.168.68.136",,,,
"65","192.168.68.107","192.168.68.136",,,,
"67","192.168.68.107","192.168.68.136",,,,
"69","192.168.68.107","192.168.68.136",,,,
"71","192.168.68.107","192.168.68.136",,,,
"73","192.168.68.107","192.168.68.136",,,,
"75","192.168.68.107","192.168.68.136",,,,
"77","192.168.68.107","192.168.68.136",,,,
"79","192.168.68.107","192.168.68.136",,,,
"81","192.168.68.107","192.168.68.136",,,,
"83","192.168.68.107","192.168.68.136",,,,
"85","192.168.68.107","192.168.68.136",,,,
"87","192.168.68.107","192.168.68.136",,,,
"89","192.168.68.107","192.168.68.136",,,,
"91","192.168.68.107","192.168.68.136",,,,
"93","192.168.68.107","192.168.68.136",,,,
"95","192.168.68.107","192.168.68.136",,,,
"97","192.168.68.107","192.168.68.136",,,,
"99","192.168.68.107","192.168.68.136",,,,
"101","192.168.68.107","192.168.68.136",,,,
"103","192.168.68.107","192.168.68.136",,,,
"105","192.168.68.107","192.168.68.136",,,,
"107","192.168.68.107","192.168.68.136",,,,
"109","192.168.68.107","192.168.68.136",,,,
"111","192.168.68.107","192.168.68.136",,,,
"113","192.168.68.107","192.168.68.136",,,,
"116","192.168.68.107","192.168.68.136",,,,
"118","192.168.68.107","192.168.68.136",,,,
"120","192.168.68.107","192.168.68.136",,,,
"122","192.168.68.107","192.168.68.136",,,,
"124","192.168.68.107","192.168.68.136",,,,
"126","192.168.68.107","192.168.68.136",,,,
"128","192.168.68.107","192.168.68.136",,,,
"130","192.168.68.107","192.168.68.136",,,,
"132","192.168.68.107","192.168.68.136",,,,
"134","192.168.68.107","192.168.68.136",,,,
"136","192.168.68.107","192.168.68.136",,,,
"138","192.168.68.107","192.168.68.136",,,,
"140","192.168.68.107","192.168.68.136",,,,
"142","192.168.68.107","192.168.68.136",,,,
"144","192.168.68.107","192.168.68.136",,,,
"146","192.168.68.107","192.168.68.136",,,,
"148","192.168.68.107","192.168.68.136",,,,
"150","192.168.68.107","192.168.68.136",,,,
"152","192.168.68.107","192.168.68.136",,,,
"154","192.168.68.107","192.168.68.136",,,,
"156","192.168.68.107","192.168.68.136",,,,
"158","192.168.68.107","192.168.68.136",,,,
"160","192.168.68.107","192.168.68.136",,,,
"162","192.168.68.107","192.168.68.136",,,,
"164","192.168.68.107","192.168.68.136",,,,
"166","192.168.68.107","192.168.68.136",,,,
"168","192.168.68.107","192.168.68.136",,,,
"170","192.168.68.107","192.168.68.136",,,,
"172","192.168.68.107","192.168.68.136",,,,
"174","192.168.68.107","192.168.68.136",,,,
"176","192.168.68.107","192.168.68.136",,,,
"178","192.168.68.107","192.168.68.136",,,,
"180","192.168.68.107","192.168.68.136",,,,
"182","192.168.68.107","192.168.68.136",,,,
"184","192.168.68.107","192.168.68.136",,,,
"186","192.168.68.107","192.168.68.136",,,,
"188","192.168.68.107","192.168.68.136",,,,
"190","192.168.68.107","192.168.68.136",,,,
"192","192.168.68.107","192.168.68.136",,,,
"194","192.168.68.107","192.168.68.136",,,,
"196","192.168.68.107","192.168.68.136",,,,
"198","192.168.68.107","192.168.68.136",,,,
"200","192.168.68.107","192.168.68.136",,,,
"202","192.168.68.107","192.168.68.136",,,,
"204","192.168.68.107","192.168.68.136",,,,
"206","192.168.68.107","192.168.68.136",,,,
"208","192.168.68.107","192.168.68.136",,,,
"210","192.168.68.107","192.168.68.136",,,,
