frame.number,frame.time_epoch,ip.src,ip.dst,tcp.time_delta
"1","1720859693.122094018","192.168.68.108","192.168.68.136","0.000000000"
"2","1720859693.131713286","192.168.68.108","192.168.68.136","0.009619268"
"4","1720859693.142396740","192.168.68.108","192.168.68.136","0.010229681"
"5","1720859693.153488136","192.168.68.108","192.168.68.136","0.011091396"
"7","1720859693.163637221","192.168.68.108","192.168.68.136","0.009704454"
"8","1720859693.177493520","192.168.68.108","192.168.68.136","0.013856299"
"10","1720859693.183496840","192.168.68.108","192.168.68.136","0.005851895"
"11","1720859693.193955631","192.168.68.108","192.168.68.136","0.010458791"
"13","1720859693.206221536","192.168.68.108","192.168.68.136","0.012079528"
"14","1720859693.218930249","192.168.68.108","192.168.68.136","0.012708713"
"16","1720859693.225287091","192.168.68.108","192.168.68.136","0.006019026"
"17","1720859693.235875632","192.168.68.108","192.168.68.136","0.010588541"
"19","1720859693.246652705","192.168.68.108","192.168.68.136","0.010460094"
"20","1720859693.257877814","192.168.68.108","192.168.68.136","0.011225109"
"22","1720859693.266348280","192.168.68.108","192.168.68.136","0.008158411"
"23","1720859693.277288171","192.168.68.108","192.168.68.136","0.010939891"
"25","1720859693.287603678","192.168.68.108","192.168.68.136","0.010007867"
"26","1720859693.297248818","192.168.68.108","192.168.68.136","0.009645140"
"29","1720859693.308922028","192.168.68.108","192.168.68.136","0.011393684"
"30","1720859693.319300648","192.168.68.108","192.168.68.136","0.010378620"
"32","1720859693.328765692","192.168.68.108","192.168.68.136","0.009102306"
"33","1720859693.339440122","192.168.68.108","192.168.68.136","0.010674430"
"35","1720859693.349652236","192.168.68.108","192.168.68.136","0.009815408"
"36","1720859693.360634486","192.168.68.108","192.168.68.136","0.010982250"
"38","1720859693.370087949","192.168.68.108","192.168.68.136","0.009207938"
"39","1720859693.379841170","192.168.68.108","192.168.68.136","0.009753221"
"41","1720859693.393319518","192.168.68.108","192.168.68.136","0.013306803"
"43","1720859693.401033041","192.168.68.108","192.168.68.136","0.007713523"
"47","1720859693.411630634","192.168.68.108","192.168.68.136","0.010381060"
"48","1720859693.422359454","192.168.68.108","192.168.68.136","0.010728820"
"50","1720859693.431772498","192.168.68.108","192.168.68.136","0.009265802"
"51","1720859693.442447228","192.168.68.108","192.168.68.136","0.010674730"
"53","1720859693.452417025","192.168.68.108","192.168.68.136","0.009679815"
"54","1720859693.463575875","192.168.68.108","192.168.68.136","0.011158850"
"56","1720859693.474532750","192.168.68.108","192.168.68.136","0.010658163"
"57","1720859693.508620195","192.168.68.108","192.168.68.136","0.034087445"
"59","1720859693.508620452","192.168.68.108","192.168.68.136","-0.000026078"
"60","1720859693.508620581","192.168.68.108","192.168.68.136","0.000000129"
"62","1720859693.519457325","192.168.68.108","192.168.68.136","0.008928204"
"63","1720859693.524883971","192.168.68.108","192.168.68.136","0.005426646"
"65","1720859693.535718198","192.168.68.108","192.168.68.136","0.010496694"
"66","1720859693.546235021","192.168.68.108","192.168.68.136","0.010516823"
"68","1720859693.559017806","192.168.68.108","192.168.68.136","0.012449378"
"69","1720859693.569960624","192.168.68.108","192.168.68.136","0.010942818"
"72","1720859693.577242279","192.168.68.108","192.168.68.136","0.006960596"
"73","1720859693.587153434","192.168.68.108","192.168.68.136","0.009911155"
"75","1720859693.601740165","192.168.68.108","192.168.68.136","0.014267630"
"76","1720859693.609217139","192.168.68.108","192.168.68.136","0.007476974"
"78","1720859693.621604561","192.168.68.108","192.168.68.136","0.012022815"
"79","1720859693.628871645","192.168.68.108","192.168.68.136","0.007267084"
"81","1720859693.639415388","192.168.68.108","192.168.68.136","0.010212725"
"82","1720859693.648867991","192.168.68.108","192.168.68.136","0.009452603"
"84","1720859693.662576193","192.168.68.108","192.168.68.136","0.013367533"
"85","1720859693.676040763","192.168.68.108","192.168.68.136","0.013464570"
"87","1720859693.681560183","192.168.68.108","192.168.68.136","0.005146427"
"88","1720859693.691137593","192.168.68.108","192.168.68.136","0.009577410"
"90","1720859693.706750748","192.168.68.108","192.168.68.136","0.015304000"
"91","1720859693.711451601","192.168.68.108","192.168.68.136","0.004700853"
"93","1720859693.723259231","192.168.68.108","192.168.68.136","0.011551987"
"94","1720859693.733800577","192.168.68.108","192.168.68.136","0.010541346"
"96","1720859693.743048409","192.168.68.108","192.168.68.136","0.009044323"
"97","1720859693.752587648","192.168.68.108","192.168.68.136","0.009539239"
"99","1720859693.762929630","192.168.68.108","192.168.68.136","0.010166975"
"100","1720859693.778796589","192.168.68.108","192.168.68.136","0.015866959"
"102","1720859693.783461715","192.168.68.108","192.168.68.136","0.004474272"
"103","1720859693.795229172","192.168.68.108","192.168.68.136","0.011767457"
"105","1720859693.826427045","192.168.68.108","192.168.68.136","0.030887536"
"106","1720859693.826427383","192.168.68.108","192.168.68.136","0.000000338"
"107","1720859693.826427510","192.168.68.108","192.168.68.136","0.000000127"
"108","1720859693.826427597","192.168.68.108","192.168.68.136",
"111","1720859693.832826394","192.168.68.108","192.168.68.136",
"113","1720859693.836533175","192.168.68.108","192.168.68.136","0.008265609"
"114","1720859693.837313409","192.168.68.108","192.168.68.136",
"116","1720859693.841339532","192.168.68.108","192.168.68.136",
"118","1720859693.846568490","192.168.68.108","192.168.68.136",
"120","1720859693.846568766","192.168.68.108","192.168.68.136","0.010035591"
"122","1720859693.860680066","192.168.68.108","192.168.68.136","0.000000000"
"123","1720859693.860680524","192.168.68.108","192.168.68.136","0.000000000"
"125","1720859693.860680685","192.168.68.108","192.168.68.136","0.013791289"
"132","1720859693.865099736","192.168.68.108","192.168.68.136","0.004347673"
"133","1720859693.865099905","192.168.68.108","192.168.68.136","0.000000169"
"136","1720859693.867146168","192.168.68.108","192.168.68.136","0.003783596"
"137","1720859693.871828449","192.168.68.108","192.168.68.136","0.005561725"
"138","1720859693.871828635","192.168.68.108","192.168.68.136","0.008595467"
"141","1720859693.880559032","192.168.68.108","192.168.68.136","0.013412864"
"143","1720859693.887907636","192.168.68.108","192.168.68.136","0.007314430"
"144","1720859693.889062373","192.168.68.108","192.168.68.136","0.017003681"
"145","1720859693.900728747","192.168.68.108","192.168.68.136","0.012821111"
"147","1720859693.908100975","192.168.68.108","192.168.68.136","0.007087595"
